qualified_name,module,name,kind,stability,since,signature,deprecated,summary,notes
crossmarket_agentgym.__version__,crossmarket_agentgym,__version__,constant_or_type_alias,stable,1.0.0rc1,,false,str(object='') -> str,
crossmarket_agentgym.agents.AdministratorRiskPolicy,crossmarket_agentgym.agents,AdministratorRiskPolicy,class,stable,1.0.0rc1,"(*, max_risk_budget: float = 1.0, max_asset_weight: float, default_max_market_weight: float, max_market_weights: dict[str, float] = <factory>, minimum_cash_floor: float, max_turnover: float, allow_new_positions: bool = True, minimum_rebalance_interval: Literal['daily', 'weekly', 'monthly'] = 'daily')",false,Immutable absolute risk limits owned outside every LLM.,
crossmarket_agentgym.agents.AgentContext,crossmarket_agentgym.agents,AgentContext,class,stable,1.0.0rc1,"(*, run_id: str, objective: str, payload: dict[str, Any] = <factory>, round_index: int, upstream: tuple[crossmarket_agentgym.agents.models.UpstreamDecision, ...] = ())",false,Immutable input to one role invocation.,
crossmarket_agentgym.agents.AgentDecision,crossmarket_agentgym.agents,AgentDecision,class,stable,1.0.0rc1,"(*, decision: Literal['approve', 'revise', 'reject', 'abstain'], summary: str, confidence: float = 0.0, risk_score: float = 1.0, constraints: crossmarket_agentgym.agents.models.DecisionConstraints = <factory>, payload: dict[str, Any] = <factory>)",false,Provider-neutral structured envelope used by every Phase 6 role.,
crossmarket_agentgym.agents.AgentExecutionResult,crossmarket_agentgym.agents,AgentExecutionResult,class,stable,1.0.0rc1,"(*, invocation_id: str, instance_id: str, role_type: str, base_name: str, seed: int, round_index: int, weight: float, status: Literal['succeeded', 'fallback', 'failed', 'timed_out'], attempts: int, duration_seconds: float, decision: crossmarket_agentgym.agents.models.AgentDecision | None = None, error_code: str | None = None, error_message: str | None = None)",false,"Auditable outcome of one invocation, including partial failures.",
crossmarket_agentgym.agents.AgentInstance,crossmarket_agentgym.agents,AgentInstance,class,stable,1.0.0rc1,"(*, instance_id: str, index: int, seed: int, spec: crossmarket_agentgym.agents.models.AgentSpec)",false,"One expanded Agent with independent identity, seed, state, and limits.",
crossmarket_agentgym.agents.AgentRuntime,crossmarket_agentgym.agents,AgentRuntime,class,stable,1.0.0rc1,"(config: 'AgentRuntimeConfig', *, run_dir: 'Path', registry: 'AgentRegistry | None' = None, tool_registry: 'ToolRegistry | None' = None) -> 'None'",false,Execute all supported topologies through the same role and result contract.,
crossmarket_agentgym.agents.AgentRuntimeConfig,crossmarket_agentgym.agents,AgentRuntimeConfig,class,stable,1.0.0rc1,"(*, run_id: str = 'phase6-runtime-offline', workspace_root: pathlib.Path = '.', output_dir: pathlib.Path = 'runs', prompt_version: str = 'phase6.v1', seed: int = 1024, objective: str, payload: dict[str, Any] = <factory>, load_entry_points: bool = True, team: crossmarket_agentgym.agents.models.TeamSpec)",false,Complete credential-free Phase 6 CLI configuration.,
crossmarket_agentgym.agents.AgentSpec,crossmarket_agentgym.agents,AgentSpec,class,stable,1.0.0rc1,"(*, type: str, name: str, count: int = 1, provider: Literal['openai_compatible', 'mock', 'replay'] = 'openai_compatible', model: str = 'deepseek-v4-pro', prompt_template: str | None = None, tools: tuple[str, ...] = (), weight: float = 1.0, temperature: float = 0.0, max_tokens: int = 2048, timeout_seconds: float = 120.0, max_retries: int = 2, retry_backoff_seconds: float = 0.25, max_tool_rounds: int = 3, enabled: bool = True, metadata: dict[str, Any] = <factory>, fallback: crossmarket_agentgym.agents.models.AgentDecision | None = None, allowed_permissions: frozenset[Literal['read', 'compute', 'write', 'expensive']] = frozenset({'compute', 'read'}), max_tool_calls: int = 20, max_expensive_tool_calls: int = 0, max_tool_seconds: float = 300.0, require_budget_before_expensive: bool = True, api_key_env: str = 'DEEPSEEK_API_KEY', base_url_env: str = 'DEEPSEEK_BASE_URL', default_base_url: str = 'https://api.deepseek.com', endpoint: str = '/chat/completions', structured_output_mode: Literal['json_object', 'json_schema'] = 'json_object', replay_path: str | None = None, mock_scripts: tuple[tuple[crossmarket_agentgym.agents.providers.mock.MockTurn, ...], ...] = ())",false,"One configurable Agent role, expanded into ``count`` independent instances.",
crossmarket_agentgym.agents.ConstraintFusionResult,crossmarket_agentgym.agents,ConstraintFusionResult,class,stable,1.0.0rc1,"(*, hard_environment: crossmarket_agentgym.environments.config.EnvironmentConfig, effective_environment: crossmarket_agentgym.environments.config.EnvironmentConfig, constraints: crossmarket_agentgym.agents.directives.EffectiveConstraintSet, risk: crossmarket_agentgym.agents.directives.RiskMergeResult, hierarchical: crossmarket_agentgym.agents.directives.HierarchicalDirective | None, cash_floor_derivation: crossmarket_agentgym.agents.directives.CashFloorDerivation, tightened_fields: tuple[str, ...])",false,Proof that Agent budgets only tightened administrator constraints.,
crossmarket_agentgym.agents.DecisionConstraints,crossmarket_agentgym.agents,DecisionConstraints,class,stable,1.0.0rc1,"(*, cash_floor: float | None = None, max_asset_weight: float | None = None, max_market_weights: dict[str, float] = <factory>, max_turnover: float | None = None, allow_new_positions: bool | None = None)",false,Optional structured limits that conservative arbitration can intersect.,
crossmarket_agentgym.agents.DirectiveProjection,crossmarket_agentgym.agents,DirectiveProjection,class,stable,1.0.0rc1,"(*, raw_action: tuple[float, ...], normalized_weights: tuple[float, ...], projected_weights: tuple[float, ...], clipping_reasons: tuple[str, ...], unresolved_constraints: tuple[str, ...], dominant_projection_reason: str, secondary_projection_reasons: tuple[str, ...], fusion: crossmarket_agentgym.agents.directives.ConstraintFusionResult)",false,Projected DRL action; this object contains no account mutation method.,
crossmarket_agentgym.agents.HierarchicalDirective,crossmarket_agentgym.agents,HierarchicalDirective,class,stable,1.0.0rc1,"(*, market_regime: Literal['risk_on', 'neutral', 'risk_off', 'high_volatility', 'unknown'], market_budgets: dict[str, float] = <factory>, sector_budgets: dict[str, float] | None = None, global_risk_budget: float, rebalance_interval: int, objective_weights: dict[str, float], confidence: float)",false,Third-layer low-frequency market and objective budget.,
crossmarket_agentgym.agents.LLMLayersConfig,crossmarket_agentgym.agents,LLMLayersConfig,class,stable,1.0.0rc1,"(*, research: crossmarket_agentgym.agents.layer_config.ResearchLayerConfig = <factory>, risk: crossmarket_agentgym.agents.layer_config.RiskLayerConfig = <factory>, hierarchical: crossmarket_agentgym.agents.layer_config.HierarchicalLayerConfig = <factory>)",false,Three independently switchable layers.,
crossmarket_agentgym.agents.Phase7RunConfig,crossmarket_agentgym.agents,Phase7RunConfig,class,stable,1.0.0rc1,"(*, run_id: str = 'phase7-full-stack-offline', workspace_root: pathlib.Path = '.', output_dir: pathlib.Path = 'runs', prompt_version: str = 'phase7.v1', seed: int = 1024, load_entry_points: bool = True, preset: Literal['no_llm', 'research_only', 'risk_only', 'hierarchical_only', 'research_plus_risk', 'full_stack', 'custom'], objective: str, research_payload: dict[str, Any] = <factory>, risk_context: crossmarket_agentgym.agents.directives.RiskContext | None = None, hierarchical_features: dict[str, float] = <factory>, as_of_index: int = 0, layers: crossmarket_agentgym.agents.layer_config.LLMLayersConfig, administrator_environment: crossmarket_agentgym.environments.config.EnvironmentConfig = <factory>, market_membership: tuple[Literal['CN', 'HK', 'JP', 'US'], ...], raw_action: tuple[float, ...], current_weights: tuple[float, ...], tradable_mask: tuple[bool, ...], verify_directive_replay: bool = True)",false,Complete CPU-first three-layer fusion acceptance configuration.,
crossmarket_agentgym.agents.ResearchDirective,crossmarket_agentgym.agents,ResearchDirective,class,stable,1.0.0rc1,"(*, objective: str, mode: Literal['plan_only', 'dry_run', 'execute'], steps: tuple[crossmarket_agentgym.agents.directives.ResearchStep, ...] = (), validation_only: Literal[True] = True, test_metrics_accessed: Literal[False] = False, safe_to_execute: bool = False, estimated_compute_units: float = 0.0, rationale: str, confidence: float = 0.0)",false,First-layer plan or bounded execution directive.,
crossmarket_agentgym.agents.ResearchStep,crossmarket_agentgym.agents,ResearchStep,class,stable,1.0.0rc1,"(*, id: str, action: Literal['inspect_dataset', 'validate_dataset', 'list_markets', 'list_symbols', 'create_split', 'validate_experiment_config', 'estimate_compute_budget', 'train_rl', 'tune_rl', 'evaluate_checkpoint', 'compare_runs', 'generate_report'], arguments: dict[str, Any] = <factory>, depends_on: tuple[str, ...] = (), expected_artifacts: tuple[str, ...] = ())",false,One schema-validated research action; execution still requires a registered tool.,
crossmarket_agentgym.agents.RiskContext,crossmarket_agentgym.agents,RiskContext,class,stable,1.0.0rc1,"(*, portfolio_value: float, current_drawdown: float, rolling_volatility: float, rolling_cvar: float, turnover: float, market_exposures: dict[str, float] = <factory>, asset_exposures: dict[str, float] = <factory>, liquidity_flags: dict[str, bool] = <factory>, regime_features: dict[str, float] = <factory>)",false,Structured portfolio evidence visible to the risk layer.,
crossmarket_agentgym.agents.RiskDirective,crossmarket_agentgym.agents,RiskDirective,class,stable,1.0.0rc1,"(*, risk_budget: float, max_asset_weight: float, max_market_weights: dict[str, float] = <factory>, cash_floor: float, max_turnover: float, allow_new_positions: bool, rebalance_frequency: Literal['daily', 'weekly', 'monthly'], rationale: str, confidence: float)",false,Second-layer bounded risk proposal.,
crossmarket_agentgym.agents.RiskMergeResult,crossmarket_agentgym.agents,RiskMergeResult,class,stable,1.0.0rc1,"(*, mode: Literal['advisory', 'enforced'], proposed: crossmarket_agentgym.agents.directives.RiskDirective | None, effective: crossmarket_agentgym.agents.directives.RiskDirective, administrator_policy: crossmarket_agentgym.agents.directives.AdministratorRiskPolicy, clipped_fields: tuple[str, ...] = ())",false,Auditable proposed/effective risk directive and every clipped field.,
crossmarket_agentgym.agents.TeamAggregate,crossmarket_agentgym.agents,TeamAggregate,class,stable,1.0.0rc1,"(*, status: Literal['resolved', 'rejected', 'no_quorum'], policy: Literal['weighted_vote', 'majority_vote', 'judge', 'most_conservative', 'reject'], configured_conflict_policy: Literal['weighted_vote', 'majority_vote', 'judge', 'most_conservative', 'reject'], conflict_detected: bool, aggregate_decision: Literal['approve', 'revise', 'reject', 'abstain'], selected_directive_confidence: float, committee_confidence: float, confidence_aggregation: Literal['minimum'] = 'minimum', decision: crossmarket_agentgym.agents.models.AgentDecision, participants: tuple[str, ...], failed_instances: tuple[str, ...] = ())",false,Deterministic structured team resolution.,
crossmarket_agentgym.agents.TeamRunResult,crossmarket_agentgym.agents,TeamRunResult,class,stable,1.0.0rc1,"(*, schema_version: Literal['1.0'] = '1.0', run_id: str, topology: Literal['single', 'pipeline', 'supervisor_worker', 'committee_vote', 'debate_then_judge', 'map_reduce'], configured_instances: int, invocations: int, succeeded: int, fallback: int, failed: int, timed_out: int, rounds: int, parallel: bool, network_used: bool, results: tuple[crossmarket_agentgym.agents.models.AgentExecutionResult, ...], aggregate: crossmarket_agentgym.agents.models.TeamAggregate)",false,Serializable result shared by single-Agent and multi-Agent runs.,
crossmarket_agentgym.agents.TeamSpec,crossmarket_agentgym.agents,TeamSpec,class,stable,1.0.0rc1,"(*, topology: Literal['single', 'pipeline', 'supervisor_worker', 'committee_vote', 'debate_then_judge', 'map_reduce'], agents: tuple[crossmarket_agentgym.agents.models.AgentSpec, ...], supervisor: str | None = None, judge: str | None = None, max_rounds: int = 3, quorum: float = 0.5, conflict_policy: Literal['weighted_vote', 'majority_vote', 'judge', 'most_conservative', 'reject'] = 'most_conservative', parallel: bool = True, max_workers: int = 8)",false,Communication topology and deterministic arbitration policy.,
crossmarket_agentgym.agents.aggregation.aggregate_results,crossmarket_agentgym.agents.aggregation,aggregate_results,function,provisional,1.0.0rc1,"(results: 'Iterable[AgentExecutionResult]', *, policy: 'ConflictPolicy', quorum: 'float', expected_instances: 'Iterable[str]', judge_instance: 'str | None' = None) -> 'TeamAggregate'",false,Resolve validated decisions without voting over arbitrary free text.,
crossmarket_agentgym.agents.execute_agent_runtime,crossmarket_agentgym.agents,execute_agent_runtime,function,stable,1.0.0rc1,"(config: 'AgentRuntimeConfig', *, registry: 'AgentRegistry | None' = None, tool_registry: 'ToolRegistry | None' = None) -> 'TeamRunResult'",false,Execute a single or team run without silently replacing any Provider.,
crossmarket_agentgym.agents.execute_phase7_stack,crossmarket_agentgym.agents,execute_phase7_stack,function,stable,1.0.0rc1,"(config: 'Phase7RunConfig', *, registry: 'AgentRegistry | None' = None, tool_registry: 'ToolRegistry | None' = None) -> 'Phase7RunSummary'",false,"Run enabled layers, intersect hard limits, project once, and verify Replay.",
crossmarket_agentgym.agents.expand_agent_specs,crossmarket_agentgym.agents,expand_agent_specs,function,stable,1.0.0rc1,"(config: 'AgentRuntimeConfig') -> 'tuple[AgentInstance, ...]'",false,Expand enabled specs in configuration order with stable IDs and seeds.,
crossmarket_agentgym.agents.fuse_constraint_directives,crossmarket_agentgym.agents,fuse_constraint_directives,function,stable,1.0.0rc1,"(*, environment: 'EnvironmentConfig', markets: 'tuple[Market, ...]', risk: 'RiskMergeResult', hierarchical: 'HierarchicalDirective | None') -> 'ConstraintFusionResult'",false,Build a stricter immutable EnvironmentConfig; never widen hard limits.,
crossmarket_agentgym.agents.load_phase7_run_config,crossmarket_agentgym.agents,load_phase7_run_config,function,stable,1.0.0rc1,(path: 'Path') -> 'Phase7RunConfig',false,Load strict YAML without resolving credentials or constructing Providers.,
crossmarket_agentgym.agents.merge_risk_directive,crossmarket_agentgym.agents,merge_risk_directive,function,stable,1.0.0rc1,"(proposed: 'RiskDirective | None', *, policy: 'AdministratorRiskPolicy', markets: 'tuple[str, ...]', mode: 'RiskMode') -> 'RiskMergeResult'",false,Intersect LLM advice with hard policy; advisory mode cannot change limits.,
crossmarket_agentgym.agents.project_with_directives,crossmarket_agentgym.agents,project_with_directives,function,stable,1.0.0rc1,"(raw_action: 'tuple[float, ...]', *, current_weights: 'tuple[float, ...]', tradable_mask: 'tuple[bool, ...]', markets: 'tuple[Market, ...]', fusion: 'ConstraintFusionResult') -> 'DirectiveProjection'",false,Apply Agent-derived tighter limits through the existing deterministic projector.,
crossmarket_agentgym.agents.providers.GenerationConfig,crossmarket_agentgym.agents.providers,GenerationConfig,class,provisional,1.0.0rc1,"(*, temperature: float = 0.0, max_tokens: int = 2048, timeout_seconds: float = 120.0, max_retries: int = 2, retry_backoff_seconds: float = 0.25, seed: int | None = None)",false,Auditable request-time generation and retry limits.,
